,ID,Sex,Marital status,Age,Education,Income,Occupation,Settlement size,customer_segment
0,100000001,0,0,67,2,124670,1,2,0
1,100000002,1,1,22,1,150773,1,2,2
2,100000003,0,0,49,1,89210,0,0,1
3,100000004,0,0,45,1,171565,1,1,3
4,100000005,0,0,53,1,149031,1,1,3
5,100000006,0,0,35,1,144848,0,0,1
6,100000007,0,0,53,1,156495,1,1,3
7,100000008,0,0,35,1,193621,2,1,3
8,100000009,0,1,61,2,151591,0,0,0
9,100000010,0,1,28,1,174646,2,0,3
10,100000011,1,1,25,1,108469,1,0,2
11,100000012,1,1,24,1,127596,1,0,2
12,100000013,1,1,22,1,108687,1,2,2
13,100000014,0,0,60,2,89374,0,0,1
14,100000015,1,1,28,1,102899,1,1,2
15,100000016,1,1,32,1,88428,0,0,2
16,100000017,0,0,53,1,125550,1,0,1
17,100000018,0,0,25,0,157434,1,2,3
18,100000019,1,1,44,2,261952,2,2,0
19,100000020,0,0,31,0,144657,1,1,3
20,100000021,0,0,48,1,118777,1,1,3
21,100000022,0,0,44,1,147511,1,1,3
22,100000023,0,0,48,1,89804,0,0,1
23,100000024,0,0,44,1,134918,1,2,3
24,100000025,0,1,26,1,103667,1,2,3
25,100000026,0,0,36,1,71909,0,0,1
26,100000027,0,1,39,1,68264,0,0,1
27,100000028,1,1,42,2,163025,1,1,0
28,100000029,0,0,34,1,119307,1,1,3
29,100000030,0,0,63,2,175882,1,0,0
30,100000031,0,1,36,1,159646,1,1,3
31,100000032,0,0,27,0,120131,1,1,3
32,100000033,0,0,30,0,162745,1,2,3
33,100000034,0,0,57,2,87605,0,0,1
34,100000035,1,1,33,1,155569,2,1,2
35,100000036,0,0,25,0,104505,0,0,1
36,100000037,0,0,31,0,143385,1,2,3
37,100000038,0,0,37,1,127676,1,1,3
38,100000039,0,0,37,1,119276,1,1,3
39,100000040,0,0,24,0,92542,1,1,3
40,100000041,0,0,30,0,163329,2,1,3
41,100000042,0,1,26,1,130921,1,0,2
42,100000043,0,0,44,1,133658,0,0,1
43,100000044,0,1,24,1,155104,1,1,3
44,100000045,1,1,58,2,142335,0,1,0
45,100000046,1,1,35,1,138387,2,1,2
46,100000047,0,0,39,1,140182,1,0,1
47,100000048,1,1,23,1,65421,0,0,2
48,100000049,0,0,39,1,130500,0,0,1
49,100000050,1,1,28,1,122831,1,0,2
50,100000051,0,0,29,0,84531,0,0,1
51,100000052,0,0,30,0,180196,2,2,3
52,100000053,0,0,25,0,92058,1,2,3
53,100000054,0,0,31,0,117158,1,0,1
54,100000055,0,0,57,2,135830,1,1,0
55,100000056,0,0,26,0,58258,0,0,1
56,100000057,0,0,52,1,202575,2,2,3
57,100000058,1,1,31,1,183657,1,1,2
58,100000059,1,1,23,1,152267,2,1,2
59,100000060,1,1,23,1,115240,0,0,2
60,100000061,0,1,27,1,106955,1,2,3
61,100000062,0,0,50,1,123641,1,1,3
62,100000063,0,0,61,2,166410,2,1,0
63,100000064,0,0,25,0,227385,1,2,3
64,100000065,1,1,26,1,118372,1,1,2
65,100000066,0,0,48,1,148115,1,1,3
66,100000067,1,1,29,1,111069,1,0,2
67,100000068,0,1,22,1,139780,1,0,2
68,100000069,0,0,37,1,106978,1,2,3
69,100000070,1,1,25,1,110019,1,2,2
70,100000071,1,1,30,1,169102,1,1,2
71,100000072,0,0,46,1,73703,0,0,1
72,100000073,0,0,51,1,141858,2,2,3
73,100000074,1,1,41,2,135959,0,0,2
74,100000075,0,0,40,1,140888,2,2,3
75,100000076,0,0,66,2,157299,2,2,0
76,100000077,0,0,34,1,125187,1,1,3
77,100000078,0,0,51,1,155486,1,2,3
78,100000079,0,0,39,1,151697,0,0,1
79,100000080,0,1,22,1,126400,1,1,2
80,100000081,1,1,44,2,159246,1,2,0
81,100000082,0,0,47,1,136138,1,1,3
82,100000083,1,1,24,1,84792,0,0,2
83,100000084,1,1,58,2,100210,0,0,0
84,100000085,0,0,52,1,93706,0,0,1
85,100000086,1,1,29,1,133783,2,1,2
86,100000087,1,1,27,1,110064,1,2,2
87,100000088,0,0,47,1,241068,1,1,3
88,100000089,0,0,30,0,149022,2,2,3
89,100000090,0,0,28,0,92973,1,2,3
90,100000091,0,0,56,1,110605,1,1,3
91,100000092,0,0,54,1,116604,1,1,3
92,100000093,1,1,33,1,71070,0,0,2
93,100000094,0,0,20,0,128678,1,1,3
94,100000095,0,0,54,1,165230,1,2,3
95,100000096,0,0,58,2,268340,1,1,0
96,100000097,1,1,61,2,135070,1,1,0
97,100000098,0,0,34,1,134794,1,2,3
98,100000099,0,0,36,1,120153,1,1,3
99,100000100,0,0,36,1,195465,2,2,3
100,100000101,0,1,41,1,93372,0,0,1
101,100000102,0,0,24,0,110446,1,0,1
102,100000103,1,1,24,1,95186,1,1,2
103,100000104,0,0,35,1,115343,1,1,3
104,100000105,0,1,26,1,107276,1,1,2
105,100000106,0,0,39,1,244716,2,2,3
106,100000107,0,0,39,1,183108,2,2,3
107,100000108,0,0,32,0,152876,1,2,3
108,100000109,1,1,30,1,165147,1,0,2
109,100000110,0,1,35,1,140520,1,0,2
110,100000111,0,1,31,1,124203,1,1,3
111,100000112,1,1,23,1,107205,1,1,2
112,100000113,0,0,28,0,121432,0,2,3
113,100000114,1,1,25,1,162445,1,0,2
114,100000115,0,1,35,1,134112,1,1,3
